X,date,unemployment,temperature,facebook_newsfeed_spend,facebook_newsfeed_impressions,youtube_brand_spend,youtube_brand_impressions,search_spend,search_clicks,youtube_performance_spend,youtube_performance_impressions,newspaper_spend,newspaper_readership,tv_spend,tv_gross_rating_points,data_week,inflation_rate,retail_trade,gdp,income,month,quarter,week,sales
14,7/14/19,3.7,48.47226488,10592.30774,9729761,23366.56987,10795360,20712.65582,9335,25263.57644,6253591,11943.19348,1003397,19851.69515,1522249,2019_28,1.77,453667,21531.839,14871.8,2019.5,2019.5,28,1064890.189
15,7/15/19,3.7,61.6161902,10972.57533,10610154,25640.39354,13577139,21819.05035,9230,0,0,12128.0358,1059799,20201.86819,1273262,2019_29,1.77,453667,21531.839,14871.8,2019.5,2019.5,29,1070256.565
16,7/16/19,3.7,42.92238829,10743.01387,9120286,27021.4095,12898636,21793.33936,10212,0,0,12007.06611,929041,21124.37218,1477223,2019_29,1.8,453667,21531.839,14871.8,2019.5,2019.5,29,1064063.555
17,7/17/19,3.7,62.35227019,11310.22168,10489616,20673.79541,9263412,24678.07915,11043,0,0,12124.32162,1011502,19715.76631,1382213,2019_29,1.75,453667,21531.839,14871.8,2019.5,2019.5,29,1075428.027
18,7/18/19,3.7,65.93079152,11020.386,9252827,23699.40191,11157220,22455.79069,10048,0,0,12537.7215,994517,19902.16085,1112670,2019_29,1.79,453667,21531.839,14871.8,2019.5,2019.5,29,1092116.792
19,7/19/19,3.7,58.71699744,10968.20353,9942029,20724.26802,8969474,22782.76574,9995,0,0,12198.02953,832045,22028.31252,1336432,2019_29,1.8,453667,21531.839,14871.8,2019.5,2019.5,29,1044753.023
20,7/20/19,3.7,53.98574323,11687.14372,9098161,25793.36149,12425004,20864.90134,9749,0,0,12344.40214,1032382,19723.56409,1472739,2019_29,1.8,453667,21531.839,14871.8,2019.5,2019.5,29,1067367.307
21,7/21/19,3.7,66.95071435,11195.93173,8796525,25841.65978,12600197,21331.37145,9356,0,0,12892.0252,1276199,19477.01292,1642159,2019_29,1.8,453667,21531.839,14871.8,2019.5,2019.5,29,1106115.854
22,7/22/19,3.7,55.87286665,10815.27666,9901274,26854.55227,13854139,24316.16643,10422,0,0,12207.85,1010797,19677.92328,1063931,2019_30,1.79,453667,21531.839,14871.8,2019.5,2019.5,30,1077916.786
23,7/23/19,3.7,70.13262499,11063.98122,10159607,24201.44342,11307026,25322.14364,11709,0,0,11251.2102,816714,21199.30286,1282492,2019_30,1.81,453667,21531.839,14871.8,2019.5,2019.5,30,1080068.554
24,7/24/19,3.7,52.73175359,11412.25322,10073735,28677.11958,12789901,23354.83254,10605,0,0,11615.49707,767039,17136.79288,871709,2019_30,1.79,453667,21531.839,14871.8,2019.5,2019.5,30,1090725.535
25,7/25/19,3.7,73.1162559,11452.01309,12089466,27461.7049,13354570,21493.40936,10064,0,0,11819.0174,1053802,21392.91736,1234130,2019_30,1.8,453667,21531.839,14871.8,2019.5,2019.5,30,1072372.011
26,7/26/19,3.7,65.73210616,11178.45594,9522367,25719.27724,13314951,22486.45085,9413,0,0,11860.24118,1242343,20964.83081,1250929,2019_30,1.78,453667,21531.839,14871.8,2019.5,2019.5,30,1097755.741
27,7/27/19,3.7,76.51065555,11049.42022,9992278,25127.4438,13078015,25644.58288,12112,0,0,12658.80262,920068,21247.54759,1116713,2019_30,1.78,453667,21531.839,14871.8,2019.5,2019.5,30,1072705.291
28,7/28/19,3.7,75.61234821,11407.13558,10465447,24725.23212,11796382,22346.30499,9717,0,0,11650.06298,865774,19752.78294,1302535,2019_30,1.78,453667,21531.839,14871.8,2019.5,2019.5,30,1089039.947
29,7/29/19,3.7,80.78953716,11015.94837,9164425,24428.09981,11954258,21185.61837,9539,25384.77341,6400368,0,0,21165.96282,1383974,2019_31,1.77,453667,21531.839,14871.8,2019.5,2019.5,31,1069138.354
30,7/30/19,3.7,64.42727242,11343.32308,11698317,27505.43345,10990532,21720.71634,9382,26696.09893,6375838,0,0,21548.21734,1304993,2019_31,1.78,453667,21531.839,14871.8,2019.5,2019.5,31,1052600.986
31,7/31/19,3.7,70.14440912,11322.58936,10204557,26340.4104,13149923,21158.02055,9179,25190.6841,6050946,0,0,19252.4886,1256459,2019_31,1.76,453667,21531.839,14871.8,2019.5,2019.5,31,1087210.089
32,8/1/19,3.7,66.23298223,10729.21455,8827697,23451.54553,10977756,22341.90381,10366,24691.1196,6061184,0,0,18305.48847,1330387,2019_31,1.7,455967,21531.839,14960.3,2019.583333,2019.5,31,1069140.534
33,8/2/19,3.7,68.70940066,10450.90693,9039059,22713.78951,11405212,25866.62702,11359,32061.05913,7990743,0,0,23123.99078,1391711,2019_31,1.66,455967,21531.839,14960.3,2019.583333,2019.5,31,1068460.802
34,8/3/19,3.7,84.39880804,11269.46362,10905930,22717.42808,10627248,21583.21187,10053,32273.15658,7956547,0,0,18983.86286,1218673,2019_31,1.66,455967,21531.839,14960.3,2019.583333,2019.5,31,1081142.047
35,8/4/19,3.7,63.92059914,11387.76008,9293025,22426.60452,10742192,24043.11977,10559,29424.53422,7269938,0,0,17169.15162,771445,2019_31,1.66,455967,21531.839,14960.3,2019.583333,2019.5,31,1077842.278
36,8/5/19,3.7,72.6055131,10842.75048,10756083,17593.52831,8318809,21381.89795,10024,25551.53501,6114165,0,0,19513.08811,1409986,2019_32,1.6,455967,21531.839,14960.3,2019.583333,2019.5,32,1079798.502
37,8/6/19,3.7,73.07407185,10920.13387,8000443,24532.01501,12052149,21509.56231,9757,34772.00455,8501801,0,0,20756.59549,1288094,2019_32,1.62,455967,21531.839,14960.3,2019.583333,2019.5,32,1065040.473
38,8/7/19,3.7,74.14567522,11178.7107,11392132,23644.9688,10168366,20460.21973,8865,33491.53804,8358393,0,0,14642.99116,764252,2019_32,1.62,455967,21531.839,14960.3,2019.583333,2019.5,32,1059838.484
39,8/8/19,3.7,66.95597416,11274.04033,9076856,23975.48996,10671989,20616.80884,8462,29527.20153,6997796,0,0,20012.12831,1276465,2019_32,1.65,455967,21531.839,14960.3,2019.583333,2019.5,32,1071331.741
40,8/9/19,3.7,69.37045797,11360.22146,9587613,27949.50727,13043635,23078.47073,10016,30902.40233,7841917,0,0,20896.28621,1135969,2019_32,1.66,455967,21531.839,14960.3,2019.583333,2019.5,32,1095570.633
41,8/10/19,3.7,80.18279832,11188.90442,9574001,27528.64376,15141967,25172.64029,11471,30297.87458,7311479,0,0,18912.81414,1148911,2019_32,1.66,455967,21531.839,14960.3,2019.583333,2019.5,32,1080623.183
42,8/11/19,3.7,84.2088087,11133.0616,11802656,24113.86164,11871205,23352.7816,11485,25768.8105,6323127,0,0,22053.04088,1400371,2019_32,1.66,455967,21531.839,14960.3,2019.583333,2019.5,32,1075671.509
43,8/12/19,3.7,72.659932,11381.41851,11485803,23951.47857,10796438,21804.57457,10486,0,0,12088.88959,1138319,19359.1233,1348846,2019_33,1.61,455967,21531.839,14960.3,2019.583333,2019.5,33,1046107.397
44,8/13/19,3.7,64.72692009,11299.96767,11241836,23886.97776,10664443,26229.66675,11685,0,0,12231.58133,1584828,20510.84139,1093670,2019_33,1.63,455967,21531.839,14960.3,2019.583333,2019.5,33,1087864.646
45,8/14/19,3.7,67.58444167,11121.34189,9623773,21023.99967,10212062,21123.98841,9557,0,0,11983.40301,1581615,19275.55137,1128420,2019_33,1.57,455967,21531.839,14960.3,2019.583333,2019.5,33,1076773.569
46,8/15/19,3.7,81.11190379,11088.694,10094747,24757.12226,11389602,23038.57472,9710,0,0,11677.75437,1199721,19585.14024,1273686,2019_33,1.54,455967,21531.839,14960.3,2019.583333,2019.5,33,1095837.283
47,8/16/19,3.7,62.30319692,11558.32563,10346395,24829.75844,11315923,23312.2696,10403,0,0,12022.77387,831015,21494.23075,1294756,2019_33,1.54,455967,21531.839,14960.3,2019.583333,2019.5,33,1061991.746
48,8/17/19,3.7,78.7874431,12167.85532,10284615,24895.78334,11282691,25493.37285,11849,0,0,11873.48208,833779,16920.19935,1083771,2019_33,1.54,455967,21531.839,14960.3,2019.583333,2019.5,33,1077977.326
49,8/18/19,3.7,70.25211689,11042.83726,9919505,24706.0165,11406401,23307.78039,10712,0,0,11825.58612,1086020,17565.99076,1242415,2019_33,1.54,455967,21531.839,14960.3,2019.583333,2019.5,33,1075258.71
50,8/19/19,3.7,63.38386341,10973.32885,9191065,24533.08067,10501979,20500.45322,8935,0,0,11788.98898,992258,21839.14246,1252242,2019_34,1.56,455967,21531.839,14960.3,2019.583333,2019.5,34,1073370.89
51,8/20/19,3.7,60.94133206,10542.75053,9183428,25659.70341,12407731,21076.82921,9218,0,0,12182.1647,907386,20152.67242,1217941,2019_34,1.53,455967,21531.839,14960.3,2019.583333,2019.5,34,1057620.855
52,8/21/19,3.7,74.48499809,10764.25718,9295232,26562.86011,12597630,21074.48679,9118,0,0,12034.24484,1089385,24494.50391,1006000,2019_34,1.54,455967,21531.839,14960.3,2019.583333,2019.5,34,1072291.461
53,8/22/19,3.7,53.73955249,11191.41059,8957920,29536.42324,14031671,22576.01633,10125,0,0,11735.181,935783,18572.40484,1021949,2019_34,1.55,455967,21531.839,14960.3,2019.583333,2019.5,34,1096636.498
54,8/23/19,3.7,73.10639685,10783.98269,10349426,27661.59489,12038772,24013.10711,10617,0,0,12314.65399,881843,20067.4836,1447036,2019_34,1.54,455967,21531.839,14960.3,2019.583333,2019.5,34,1081904.042
55,8/24/19,3.7,50.70483305,11999.39434,11721255,23601.81066,10116007,26460.64814,11905,0,0,12301.75261,1061687,20949.70989,1574893,2019_34,1.54,455967,21531.839,14960.3,2019.583333,2019.5,34,1061088.804
56,8/25/19,3.7,67.47496351,10801.30916,10833319,26404.35682,14018764,25000.20721,11033,0,0,11989.27841,957837,20679.96925,1542844,2019_34,1.54,455967,21531.839,14960.3,2019.583333,2019.5,34,1103291.163
57,8/26/19,3.7,70.55742144,10826.9558,10940643,23344.93049,12358956,18317.95843,7482,18668.71414,4420339,11798.33975,1094832,16527.63453,1534822,2019_35,1.54,455967,21531.839,14960.3,2019.583333,2019.5,35,1092024.358
58,8/27/19,3.7,72.79503845,10889.39688,9531662,26571.66632,12015639,21869.3398,9694,25333.12911,6157304,12343.59117,1030690,23097.67315,1408580,2019_35,1.55,455967,21531.839,14960.3,2019.583333,2019.5,35,1083769.912
59,8/28/19,3.7,51.51444107,10658.233,9871565,22834.45966,11665355,26726.73386,12499,21722.37136,5256943,12119.1501,1299089,24355.10511,1764239,2019_35,1.55,455967,21531.839,14960.3,2019.583333,2019.5,35,1086308.392
60,8/29/19,3.7,44.4871946,11593.98012,11328754,21480.36133,11783436,27324.72634,11834,26399.76953,6434258,11406.21665,1226684,21281.13764,1491101,2019_35,1.59,455967,21531.839,14960.3,2019.583333,2019.5,35,1059217.735
61,8/30/19,3.7,49.40625691,10361.08052,9555959,24661.03715,10504389,25351.91276,12098,27970.60756,6750455,11967.42469,837559,16279.64752,1038301,2019_35,1.55,455967,21531.839,14960.3,2019.583333,2019.5,35,1066912.99
62,8/31/19,3.7,46.08008638,11223.69456,11205827,24601.99854,11628200,24238.15416,11264,32139.90286,7828613,11948.2547,1038016,19426.14656,1067527,2019_35,1.55,455967,21531.839,14960.3,2019.583333,2019.5,35,1065054.505
63,9/1/19,3.5,53.08659348,11530.8977,10124109,22629.68038,10060799,23016.92643,9890,36406.53786,8828351,11920.82636,1045019,18902.20026,1212795,2019_35,1.55,452048,21531.839,15000.7,2019.666667,2019.5,35,1064826.622
64,9/2/19,3.5,44.43896631,10419.8579,9235082,25667.25764,13095641,23785.11611,11081,29717.98293,7181051,12246.80755,1058055,20129.00368,1006457,2019_36,1.55,452048,21531.839,15000.7,2019.666667,2019.5,36,1080350.105
65,9/3/19,3.5,49.91237246,11444.99482,10385822,26438.98518,11397026,23916.49346,10235,24699.11766,5893872,12005.32475,1634074,18708.86568,1000372,2019_36,1.5,452048,21531.839,15000.7,2019.666667,2019.5,36,1078197.216
66,9/4/19,3.5,57.93242808,10728.921,9353037,24321.04743,11232093,20560.7092,8655,28550.53282,6904118,12097.6813,1257053,18644.79252,1242786,2019_36,1.51,452048,21531.839,15000.7,2019.666667,2019.5,36,1073988.427
67,9/5/19,3.5,51.48002623,10753.90275,9905312,25427.70678,12362503,20755.80331,9742,34436.78583,8423185,12156.68831,960899,17231.57179,906076,2019_36,1.56,452048,21531.839,15000.7,2019.666667,2019.5,36,1097738.799
68,9/6/19,3.5,69.05243913,10904.25419,11167850,23687.79087,10974537,24986.66061,10994,20877.31985,5091143,12456.79903,1347005,20138.38891,1030006,2019_36,1.54,452048,21531.839,15000.7,2019.666667,2019.5,36,1067737.097
69,9/7/19,3.5,53.69037503,10486.39604,10652921,28396.81151,12262314,19333.50599,8419,25754.43385,6290862,11821.11685,821398,17186.42966,1146813,2019_36,1.54,452048,21531.839,15000.7,2019.666667,2019.5,36,1086133.747
70,9/8/19,3.5,70.4387161,10893.21627,9855851,22090.29043,10200516,23247.77026,11066,25847.02027,6279003,12013.62324,869404,18274.08389,1155276,2019_36,1.54,452048,21531.839,15000.7,2019.666667,2019.5,36,1084634.128
71,9/9/19,3.5,52.13720337,10794.566,9831096,24484.76816,11054310,24181.10899,11425,0,0,0,0,15002.40758,819629,2019_37,1.57,452048,21531.839,15000.7,2019.666667,2019.5,37,1066126.57
72,9/10/19,3.5,64.58106988,10804.77987,8437448,23083.73985,10100192,24609.52663,11139,0,0,0,0,17085.0205,759021,2019_37,1.6,452048,21531.839,15000.7,2019.666667,2019.5,37,1049163.963
73,9/11/19,3.5,50.11837876,11010.04219,10442191,24502.31912,10905641,23015.07683,10034,0,0,0,0,21900.0319,1235252,2019_37,1.6,452048,21531.839,15000.7,2019.666667,2019.5,37,1055949.857
74,9/12/19,3.5,69.9985806,11568.4355,11520896,23499.81365,10810031,19367.49443,7997,0,0,0,0,22744.12558,1776416,2019_37,1.63,452048,21531.839,15000.7,2019.666667,2019.5,37,1074429.35
75,9/13/19,3.5,69.76396363,11209.94123,11359256,26015.76774,12517189,22190.26404,11219,0,0,0,0,17265.08409,1001224,2019_37,1.67,452048,21531.839,15000.7,2019.666667,2019.5,37,1075757.168
76,9/14/19,3.5,61.9490031,11796.8836,11410025,23467.56955,10732383,24474.29991,10537,0,0,0,0,16606.98451,1232034,2019_37,1.67,452048,21531.839,15000.7,2019.666667,2019.5,37,1071277.716
77,9/15/19,3.5,63.53474308,10947.52475,9617389,23432.9648,11241356,23971.69114,11768,0,0,0,0,20012.10291,1055281,2019_37,1.67,452048,21531.839,15000.7,2019.666667,2019.5,37,1063636.021
78,9/16/19,3.5,71.00496306,10914.34029,7851947,22093.85424,9714469,24658.6262,11324,0,0,0,0,18734.24821,1053108,2019_38,1.67,452048,21531.839,15000.7,2019.666667,2019.5,38,1051271.79
79,9/17/19,3.5,55.24045499,11215.90877,8381538,26031.69465,13396645,22659.75636,10005,0,0,0,0,20959.3254,1522290,2019_38,1.66,452048,21531.839,15000.7,2019.666667,2019.5,38,1052534.876
80,9/18/19,3.5,72.45116146,10923.29881,10144314,21992.52933,11162478,25771.84293,11286,0,0,0,0,20264.82292,1494140,2019_38,1.59,452048,21531.839,15000.7,2019.666667,2019.5,38,1071902.835
81,9/19/19,3.5,77.61720757,10336.12677,9802450,28762.3108,14817613,24776.03804,10784,0,0,0,0,19611.35364,1229968,2019_38,1.61,452048,21531.839,15000.7,2019.666667,2019.5,38,1082447.473
82,9/20/19,3.5,62.85555915,10511.82345,10212674,25453.33373,14021775,23363.86656,10671,0,0,0,0,24632.10392,1758358,2019_38,1.61,452048,21531.839,15000.7,2019.666667,2019.5,38,1089361.035
83,9/21/19,3.5,58.78516348,11654.69499,10330933,25441.56572,12582920,21831.23604,10055,0,0,0,0,15807.95799,1014972,2019_38,1.61,452048,21531.839,15000.7,2019.666667,2019.5,38,1068190.18
84,9/22/19,3.5,69.36277855,11557.59186,12835621,24413.97466,11501434,26487.15515,11350,0,0,0,0,19020.25685,1121646,2019_38,1.61,452048,21531.839,15000.7,2019.666667,2019.5,38,1079179.783
85,9/23/19,3.5,69.08505933,11304.17404,10461161,30202.59507,15265575,20214.89081,8471,23734.91168,5809489,12219.24063,1037508,16603.00523,1041206,2019_39,1.61,452048,21531.839,15000.7,2019.666667,2019.5,39,1107143.418
86,9/24/19,3.5,72.69812229,11282.76327,10037537,25651.19276,12165889,25463.1123,12846,31971.97974,7946356,11954.45341,747319,19151.56077,902868,2019_39,1.58,452048,21531.839,15000.7,2019.666667,2019.5,39,1083789.026
87,9/25/19,3.5,71.66099706,10629.54407,10011188,25634.60535,13952133,24156.77398,10763,28298.70259,6775631,11940.87951,1187620,20197.09211,1116331,2019_39,1.6,452048,21531.839,15000.7,2019.666667,2019.5,39,1077026.486
88,9/26/19,3.5,87.04381326,11514.18499,12570887,20883.69796,10253086,23277.55221,11071,24335.87365,5873912,12024.47841,1045790,18994.12169,1204708,2019_39,1.57,452048,21531.839,15000.7,2019.666667,2019.5,39,1082696.249
89,9/27/19,3.5,66.56871821,11163.5548,10093590,22000.58537,10982576,25195.45075,11778,22306.70153,5423170,11751.49228,832038,19422.95845,1057978,2019_39,1.53,452048,21531.839,15000.7,2019.666667,2019.5,39,1088474.01
90,9/28/19,3.5,66.11666844,10554.97916,9812417,23758.10019,11088546,21853.77633,9411,28289.60402,6780860,12086.96494,769252,19493.92519,1003569,2019_39,1.53,452048,21531.839,15000.7,2019.666667,2019.5,39,1063837.916
91,9/29/19,3.5,79.16942305,10896.42409,10464766,25309.67168,11767682,24437.78607,11220,19025.80807,4667639,11766.33242,886888,0,0,2019_39,1.53,452048,21531.839,15000.7,2019.666667,2019.5,39,1060961.986
92,9/30/19,3.5,62.41653726,10637.79363,8904926,23054.05675,11000838,21071.59194,9436,21926.24756,5445870,12398.26071,908318,0,0,2019_40,1.53,452048,21531.839,15000.7,2019.666667,2019.5,40,1043632.095
93,10/1/19,3.6,63.57398744,10591.5431,8878124,23396.11362,11165704,17950.42887,8714,31177.47159,7514864,12376.11183,1097300,0,0,2019_40,1.52,453451,21706.532,15022.4,2019.75,2019.75,40,1064756.136
94,10/2/19,3.6,83.17791882,10586.58718,8190380,21865.83052,10204608,20590.47762,9045,25478.07571,6328822,11815.7742,908457,0,0,2019_40,1.5,453451,21706.532,15022.4,2019.75,2019.75,40,1076795.335
95,10/3/19,3.6,87.07982542,10881.4116,8439346,25686.84198,12513152,22080.89894,10030,31250.91919,7686798,11981.46746,948571,0,0,2019_40,1.48,453451,21706.532,15022.4,2019.75,2019.75,40,1082971.184
96,10/4/19,3.6,66.0648175,10297.53537,9095938,24109.31006,11737050,27381.90976,12531,23872.63458,5649042,12130.80208,1003474,0,0,2019_40,1.5,453451,21706.532,15022.4,2019.75,2019.75,40,1068120.883
97,10/5/19,3.6,77.53798509,11258.06138,9174754,22149.09903,11187188,21598.83568,9425,27858.83497,6716036,12217.85919,905339,0,0,2019_40,1.5,453451,21706.532,15022.4,2019.75,2019.75,40,1085994.47
98,10/6/19,3.6,67.95466862,11195.51268,10650084,23930.19002,12334734,20954.72875,9261,24323.77231,5754463,12133.09648,802221,0,0,2019_40,1.5,453451,21706.532,15022.4,2019.75,2019.75,40,1079819.992
99,10/7/19,3.6,84.48225575,10581.10257,10817376,24696.40595,10894551,21692.72162,9554,0,0,11891.09016,879334,0,0,2019_41,1.51,453451,21706.532,15022.4,2019.75,2019.75,41,1080550.579
100,10/8/19,3.6,79.58268,11509.82027,8724169,23098.6188,11761630,19231.67937,8654,0,0,12091.98038,860992,0,0,2019_41,1.48,453451,21706.532,15022.4,2019.75,2019.75,41,1069393.984
101,10/9/19,3.6,76.33156067,11051.9379,11580759,21716.90156,9391007,23399.55559,10691,0,0,12209.96028,908837,0,0,2019_41,1.49,453451,21706.532,15022.4,2019.75,2019.75,41,1110915.708
102,10/10/19,3.6,60.68954233,11088.36074,10767391,27783.04846,12421991,24057.3634,10476,0,0,11678.39214,1062803,0,0,2019_41,1.52,453451,21706.532,15022.4,2019.75,2019.75,41,1082695.141
103,10/11/19,3.6,54.54826802,11231.98879,10481124,24875.76767,11065890,23012.4475,10008,0,0,12074.58497,1107677,0,0,2019_41,1.56,453451,21706.532,15022.4,2019.75,2019.75,41,1078560.835
104,10/12/19,3.6,62.32644993,11126.3441,9555225,24556.92441,12457697,22628.98933,9528,0,0,12286.01209,1400308,0,0,2019_41,1.56,453451,21706.532,15022.4,2019.75,2019.75,41,1077172.016
105,10/13/19,3.6,71.61751214,11110.1568,10631064,24675.53596,11053538,23736.40141,10699,0,0,11365.94355,1164728,0,0,2019_41,1.56,453451,21706.532,15022.4,2019.75,2019.75,41,1073725.708
106,10/14/19,3.6,75.80811284,10885.39334,10923112,25673.69064,13281595,25046.06188,11568,0,0,12143.88809,1066473,0,0,2019_42,1.56,453451,21706.532,15022.4,2019.75,2019.75,42,1081828.504
107,10/15/19,3.6,67.36518999,11082.53634,10300463,27163.35452,11690483,25161.63319,12139,0,0,12061.31382,1125820,0,0,2019_42,1.56,453451,21706.532,15022.4,2019.75,2019.75,42,1088185.589
108,10/16/19,3.6,67.04944712,11279.82767,10306222,27060.38636,11748412,25899.26024,11550,0,0,12335.69186,1071012,0,0,2019_42,1.57,453451,21706.532,15022.4,2019.75,2019.75,42,1088333.467
109,10/17/19,3.6,70.10793993,11186.91727,11614549,24293.14171,12514238,21628.3356,9888,0,0,12260.10523,1085574,0,0,2019_42,1.59,453451,21706.532,15022.4,2019.75,2019.75,42,1098446.391
110,10/18/19,3.6,65.19174569,10653.42207,9481556,27150.76339,13680794,20437.61896,8998,0,0,12074.09587,986380,0,0,2019_42,1.6,453451,21706.532,15022.4,2019.75,2019.75,42,1089975.703
111,10/19/19,3.6,68.60677086,11354.02004,9447335,24569.35504,11692829,21411.82001,10178,0,0,12110.756,1035032,0,0,2019_42,1.6,453451,21706.532,15022.4,2019.75,2019.75,42,1059284.428
112,10/20/19,3.6,56.28737347,10937.68482,11272535,25367.11786,12687060,19201.67098,9339,0,0,12269.84911,860300,0,0,2019_42,1.6,453451,21706.532,15022.4,2019.75,2019.75,42,1105301.968
113,10/21/19,3.6,62.12359914,10621.70871,9033892,26901.13564,12801313,20516.72551,9209,23711.43848,5940969,0,0,0,0,2019_43,1.61,453451,21706.532,15022.4,2019.75,2019.75,43,1069803.878
114,10/22/19,3.6,46.25392194,10894.59607,9346552,27167.10193,14022280,24025.98636,10403,31356.97863,7460450,0,0,0,0,2019_43,1.61,453451,21706.532,15022.4,2019.75,2019.75,43,1103440.418
115,10/23/19,3.6,62.920484,10274.37992,10405947,22010.14096,10187868,23827.52957,10834,24136.25561,5685802,0,0,0,0,2019_43,1.61,453451,21706.532,15022.4,2019.75,2019.75,43,1082005.592
116,10/24/19,3.6,43.96459091,11183.60198,9988149,23712.13444,10913294,17884.30335,8335,20476.70038,4903533,0,0,0,0,2019_43,1.62,453451,21706.532,15022.4,2019.75,2019.75,43,1067003.904
117,10/25/19,3.6,49.86265878,11732.34624,10313782,27857.59503,13670021,21878.00724,9408,25479.33948,6380611,0,0,0,0,2019_43,1.65,453451,21706.532,15022.4,2019.75,2019.75,43,1083770.488
118,10/26/19,3.6,53.58975318,11072.77392,8977271,24225.1805,10712001,24008.70285,10861,27633.79984,6865211,0,0,0,0,2019_43,1.65,453451,21706.532,15022.4,2019.75,2019.75,43,1079941.576
119,10/27/19,3.6,68.68929506,11243.32077,11094030,24858.34596,13660405,26406.76565,11884,31371.8277,7599941,0,0,0,0,2019_43,1.65,453451,21706.532,15022.4,2019.75,2019.75,43,1069614.11
120,10/28/19,3.6,69.98961537,10803.07057,10237253,24861.67153,11971499,25703.09432,10901,24754.71806,5969745,0,0,0,0,2019_44,1.64,453451,21706.532,15022.4,2019.75,2019.75,44,1082476.925
121,10/29/19,3.6,44.19950255,10616.57537,9998507,24799.80755,11611348,22086.51391,10526,30272.5716,7160728,0,0,17166.28493,925742,2019_44,1.61,453451,21706.532,15022.4,2019.75,2019.75,44,1062081.361
122,10/30/19,3.6,60.18431658,10740.92955,8964666,25668.71465,13065013,26446.1079,11641,23228.21845,5704958,0,0,15457.91354,1049298,2019_44,1.57,453451,21706.532,15022.4,2019.75,2019.75,44,1105959.227
123,10/31/19,3.6,45.30546959,10875.05139,10536155,22350.64593,11123510,19035.11641,7736,22690.54946,5696771,0,0,19612.84337,1244237,2019_44,1.54,453451,21706.532,15022.4,2019.75,2019.75,44,1075580.17
